"Name"	"AutomationId"	"ControlType"	"IsEnabled"	"IsOffscreen"
"FoldersWordCount"	"Folders_WordCount"	"ControlType.Button"	"True"	"False"
"Go Live"	""	"ControlType.Button"	"False"	"False"
"Main_Delete Delete"	"Main_Delete"	"ControlType.Button"	"True"	"False"
"Main_Refresh Refresh"	"Main_Refresh"	"ControlType.Button"	"True"	"False"
"Manage Worship Lists"	"WL_Manage"	"ControlType.Button"	"True"	"False"
"Output 검은 화면"	"cbOutputBlack"	"ControlType.Button"	"False"	"False"
"Output 구절 알림"	"OutputBtnRefAlert"	"ControlType.Button"	"False"	"False"
"Output 다음 슬라이드"	"OutputBtnSlideDown"	"ControlType.Button"	"False"	"False"
"Output 다음 항목"	"OutputBtnItemDown"	"ControlType.Button"	"False"	"False"
"Output 라이브 중지"	"OutputBtnStopLive"	"ControlType.Button"	"False"	"False"
"Output 미디어 재생 일시정지"	"OutputBtnMedia"	"ControlType.Button"	"False"	"False"
"Output 복귀"	"cbGoLive"	"ControlType.Button"	"False"	"False"
"Output 새로고침"	"OutputBtnRefresh"	"ControlType.Button"	"False"	"False"
"Output 이전 슬라이드"	"OutputBtnSlideUp"	"ControlType.Button"	"False"	"False"
"Output 이전 항목"	"OutputBtnItemUp"	"ControlType.Button"	"False"	"False"
"Output 하단 검은 화면"	""	"ControlType.Button"	"False"	"False"
"Output 하단 복귀"	""	"ControlType.Button"	"False"	"False"
"Output 하단 화면 비우기"	""	"ControlType.Button"	"False"	"False"
"Output 현재 항목 처음으로"	"OutputBtnRestartCurrentItem"	"ControlType.Button"	"False"	"False"
"Output 화면 비우기"	"cbOutputClear"	"ControlType.Button"	"False"	"False"
"Output 회전 제외 항목 이동"	"OutputBtnJumpToNonRotate"	"ControlType.Button"	"False"	"False"
"Preview Go Live"	"btnToLive"	"ControlType.Button"	"True"	"False"
"Preview Info 모드"	"IndradioButtonInfo"	"ControlType.Button"	"True"	"False"
"Preview Output 복사"	"btnToOutput"	"ControlType.Button"	"True"	"False"
"Preview Output 복사 후 다음"	"btnToOutputMoveNext"	"ControlType.Button"	"True"	"False"
"Preview Set 모드"	"IndradioButtonFormat"	"ControlType.Button"	"True"	"False"
"Preview Text 모드"	"IndradioButtonText"	"ControlType.Button"	"True"	"False"
"Preview 다음 슬라이드"	"PreviewBtnSlideDown"	"ControlType.Button"	"True"	"False"
"Preview 다음 항목"	"PreviewBtnItemDown"	"ControlType.Button"	"True"	"False"
"Preview 세션 노트"	"IndcbPreviewNotes"	"ControlType.Button"	"True"	"False"
"Preview 이전 슬라이드"	"PreviewBtnSlideUp"	"ControlType.Button"	"True"	"False"
"Preview 이전 항목"	"PreviewBtnItemUp"	"ControlType.Button"	"True"	"False"
"검색 및 사용처"	""	"ControlType.Button"	"True"	"False"
"검은 화면"	""	"ControlType.Button"	"False"	"False"
"선택 곡을 예배 순서에 추가"	""	"ControlType.Button"	"True"	"False"
"선택한 예배 순서 불러오기"	""	"ControlType.Button"	"True"	"False"
"예배 순서 RTF 문서 생성"	"WL_Word"	"ControlType.Button"	"True"	"False"
"예배 순서 검증"	""	"ControlType.Button"	"True"	"False"
"예배 순서 관리"	""	"ControlType.Button"	"True"	"False"
"예배 순서 되돌리기"	""	"ControlType.Button"	"False"	"False"
"예배 순서 전체 비우기"	""	"ControlType.Button"	"True"	"False"
"외부 파일을 예배 순서에 추가"	"WL_Open"	"ControlType.Button"	"True"	"False"
"출력 복귀"	""	"ControlType.Button"	"False"	"False"
"출력 새로고침"	""	"ControlType.Button"	"False"	"False"
"항목 아래로 이동 (Ctrl+Shift+Down)"	""	"ControlType.Button"	"True"	"False"
"항목 위로 이동 (Ctrl+Shift+Up)"	""	"ControlType.Button"	"False"	"False"
"항목 제거 (Delete 키)"	""	"ControlType.Button"	"True"	"False"
"현재 소스 항목을 예배 순서에 추가"	"WL_Add"	"ControlType.Button"	"True"	"False"
"화면 비우기"	""	"ControlType.Button"	"False"	"False"
"저장된 예배 순서 선택"	"SessionCombo"	"ControlType.ComboBox"	"True"	"False"
"폴더 선택"	"ClassicSongFolderCombo"	"ControlType.ComboBox"	"True"	"False"
"곡 목록"	"LibrarySongList"	"ControlType.DataGrid"	"True"	"False"
"예배 순서 목록"	"QueueList"	"ControlType.DataGrid"	"True"	"False"
"■산소망찬양대.txt"	""	"ControlType.DataItem"	"True"	"False"
"■성경봉독.txt"	""	"ControlType.DataItem"	"True"	"False"
"■예배찬송.txt"	""	"ControlType.DataItem"	"True"	"False"
"★★★사도신경★★★.txt"	""	"ControlType.DataItem"	"True"	"False"
